RGUID,ImpressionTime,ImpressionDate,ABTestID,CleansedQuery,RawQuery,ReturnedAdCnt,TQS_qasp,Decile,ValidSearch,PublisherId,PublisherAccountId,BingAlteredQuery,BingAugments,EnableLogType,EMListingNumbers,PMListingNumbers,BMListingNumbers,SMListingNumbers,EMListingCnt_MU,PMListingCnt_MU,BMListingCnt_MU,SMListingCnt_MU,ExpandedMatchesCnt,QoQMatchesCnt,PhraseMatchCnt,FormCode,DeviceMake,DeviceModel,DeviceOSVersion,MarketplaceClassificationId,RelatedToAccountId,MediumId,Market,DeviceTypeId
0000421e77a047d4956c9932bfc21248,"1:08 AM","7/17/2016",2071,比薩 技術 加盟,比薩技術加盟,0,,10,0,-11064001,1607337,,,0,0,2,0,0,0,86,0,0,2,0,0,NOFORM,,,5.1,2,Yahoo,1,zh-tw,1
000082974e574783b08973a3c7f5ffeb,"1:45 AM","7/17/2016",34561,,shownewsarticle.phpp?intitle=,0,show+news+article.php%3fintitle%3d;0.75,1,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,5.1,1,Bing,1,fr-fr,1
0000a2a0be844a5eba46ec9e28cf300a,"1:19 AM","7/17/2016",32034,ankara escort bayan ilan sitesi ad tags otele gelen,Ankara escort bayan ilan sitesi Ad Tags otele gelen,0,,10,0,-230887,215923,,,7,0,20,0,10,0,62,2,0,20,0,0,NOFORM,,,,1,Bing,1,de-de,1
0000d1f75f1f4831ba69365e25a42f9c,"1:12 AM","7/17/2016",36688,,outdoors pictures,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,IESR02,,,,1,Bing,1,en-us,1
00016c571f464a65ba0b96b80c956455,"1:34 AM","7/17/2016",3678,blue marlin grand championship,blue marlin grand championship,0,,6,1,2006061,944372,,,7,0,11,2,1,0,1317,28,466,11,3,11,NOFORM,Apple,iPhone,9.3.2,1,Yahoo,3,en-us,2
00017bfeea094d2ba471fb8858e66cf2,"1:13 AM","7/17/2016",36688,,gemena,0,,1,0,-230887,215923,,,0,0,0,0,0,0,0,0,0,0,0,0,PERE,,,5.1,1,Bing,1,en-us,1
0001c5df37ff4a7786aa3569e070a9ef,"1:22 AM","7/17/2016",3750,divid,divid,0,,5,1,230887,239638,,,7,0,0,0,0,0,0,0,0,0,0,0,NOFORM,Generic,Android,5.1,1,Bing,3,zh-cn,2
00024efbd14e42fa966d03485b213e0c,"1:12 AM","7/17/2016",12577,,nama dj extra jo,0,,0,0,-3004994,944330,,,0,0,0,0,0,0,0,0,0,0,0,0,YHOOIL,,,6.1,1,Yahoo,1,en-us,1
0002cad7fbaa48b1966458b648debf76,"1:50 AM","7/17/2016",2461,,xyz网址遗忘,0,,1,1,230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,PERE1,,,,1,Bing,1,zh-cn,1
0003ea58224f4476bce7329adbe754eb,"1:34 AM","7/17/2016",167,,parks in Lafox IL,0,,1,0,-230887,215923,,,7,0,0,0,0,0,0,0,0,0,0,0,NOFORM,,,,1,Bing,1,en-us,1
